PORT_NAME_FROM,PORT_NAME_TO,DISTANCE
ACAJUTLA,MONTREAL,4168.74
ACAJUTLA,TIANJIN,7654.08
ACAJUTLA,VANCOUVER (CANADA),3120.96
ACKANSA,HOUSTON,6177.6
ACKANSA,PORT EVERGLADES,5290.38
ACU,ARZEW,4236.21
ACU,BAHRAIN,7808.64
ACU,BRUNSBUTTEL,5366.13
ACU,CAOFEIDIAN,11177.1
ACU,DILISKELESI,6134.1
ACU,FOS,4868.81
ACU,HIDD,2650.04
ACU,IJMUIDEN,5320.64
ACU,JAIGARH,7849.92
ACU,JIANGYIN,10820
ACU,LANQIAO,11202.66
ACU,LANSHAN,10553.28
ACU,LAZARO CARDENAS,5470.08
ACU,LUOJING,10737
ACU,MARIN (SPAIN),4426.24
ACU,NANTONG,10246.7
ACU,OITA,11092
ACU,PORI,6264.72
ACU,RONNSKAR,6631.02
ACU,ROTTERDAM,5096
ACU,SHANGHAI,10742
ACU,TAICANG,11072.5
ACU,VIZAG,8578.96
ACU,ZHANGJIAGANG,10379.52
ACU,ZHANJIANG,10246.44
ACU,ZHENJIANG,10775.16
ACU,ZHUHAI,9587.52
ADABIYA,DJIBOUTI,1281
ADANG BAY,CHANGSHU,2111.9
ADANG BAY,DANDONG,2595.78
ADANG BAY,DAVAO,775.17
ADANG BAY,DONGGUAN,1587.84
ADANG BAY,ENNORE,2789.72
ADANG BAY,FANGCHENG,1747.94
ADANG BAY,GUANGZHOU,1696.8
ADANG BAY,HONG KONG,1627.92
ADANG BAY,HUANGPU,1715.98
ADANG BAY,ILOILO,790.4
ADANG BAY,KANDLA,4174.56
ADANG BAY,KARIKAL,2781.24
ADANG BAY,KAWASAKI,2546.25
ADANG BAY,KEMEN,1781.64
ADANG BAY,KOHSICHANG TPP,2015.71
ADANG BAY,KOPER,7167.75
ADANG BAY,KUNSAN,2395
ADANG BAY,MAP TA PHUT,1965.54
ADANG BAY,MARIVELES,1017.6
ADANG BAY,MUMBAI,3564.26
ADANG BAY,MUNDRA,4135.04
ADANG BAY,NANTONG,2111.69
ADANG BAY,NEW MANGALORE,3231.36
ADANG BAY,PANJIN,2718
ADANG BAY,QINZHOU,1891.05
ADANG BAY,SHANGHAI,2026.35
ADANG BAY,SHANWEI,1657.5
ADANG BAY,TAICHUNG,1561.8
ADANG BAY,TUNA,4074.9
ADANG BAY,TUTICORIN,3032.64
ADANG BAY,XINSHA,1640.43
ADANG BAY,ZHANGZHOU,1607.29
ADANG BAY,ZHENJIANG,2206.75
ADELAIDE,ADABIYA,7369.6
ADELAIDE,AQABA,7390.35
ADELAIDE,BANDAR IMAM KHOMEINI,6322.25
ADELAIDE,BAYUQUAN,5671.59
ADELAIDE,BRISBANE,1590
ADELAIDE,CAI LAN,4832.76
ADELAIDE,CAI MEP,3942.54
ADELAIDE,CAOFEIDIAN,5779.62
ADELAIDE,CHIBA,5553.9
ADELAIDE,CHIWAN,4674.6
ADELAIDE,DALIAN,6003.9
ADELAIDE,DAMMAM,6364.12
ADELAIDE,GRESIK,2845.98
ADELAIDE,GUAYAQUIL,8165.84
ADELAIDE,HAKATA,5254.45
ADELAIDE,HAMBURG,10642.85
ADELAIDE,HAZIRA,5571.28
ADELAIDE,INCHEON,5767.08
ADELAIDE,JAKARTA,2920.3
ADELAIDE,JEDDAH,6638.4
ADELAIDE,JIANGYIN,5263.58
ADELAIDE,JINGTANG,5588.16
ADELAIDE,KATTUPALLI,4473.6
ADELAIDE,KAWASAKI,5541.66
ADELAIDE,KOHSICHANG TPP,4256
ADELAIDE,KUNSAN,5278.2
ADELAIDE,KUSHIRO,5680.08
ADELAIDE,LAE,3044.68
ADELAIDE,LAUTOKA,2644.8
ADELAIDE,MACHONG,4623.36
ADELAIDE,MAKASSAR,3032
ADELAIDE,MANZANILLO (MEXICO),7687
ADELAIDE,MOMBASA,5998.65
ADELAIDE,MOUNT MAUNGANUI,2327.8
ADELAIDE,NACALA,5475
ADELAIDE,NANTONG,5283.63
ADELAIDE,NEMRUT BAY,8209
ADELAIDE,NEW ORLEANS,9492.48
ADELAIDE,NINGBO,5044.97
ADELAIDE,PHU MY,4068.28
ADELAIDE,PORT KEMBLA,1091.81
ADELAIDE,SAMALAJU PORT,3765.16
ADELAIDE,SEMARANG,2961.15
ADELAIDE,SINGAPORE,3697.2
ADELAIDE,SUBIC BAY,4349.69
ADELAIDE,SURABAYA,2865.52
ADELAIDE,SUVA,2888.08
ADELAIDE,TAURANGA,2167.68
ADELAIDE,TUTICORIN,4418.82
ADELAIDE,UMM QASR,6935.76
ADELAIDE,YANTAI,5632.11
ADELAIDE,YOKOHAMA,5485.31
ADELAIDE,ZHANGJIAGANG,5523.89
AGADIR,ABIDJAN,2169.6
AGADIR,BAHIA BLANCA,4941.9
AGADIR,CONAKRY,1457.3
AGADIR,COTONOU,2754.96
AGADIR,DOUALA,2977.9
AGADIR,LOME,2593
AGADIR,NOUAKCHOTT,904.54
AGADIR,SAN PEDRO (IVORY COAST),2113.93
AGADIR,TEMA,2501
AGIOI THEODOROI,FIUMICINO,815.76
AHUS,ANTWERP,941.32
AHUS,BREMEN,774.8
AHUS,GHENT,888.52
AHUS,SANTANDER,1511.04
AHUS,SAS VAN GENT,869.12
AIN SUKHNA TERMINAL,MOMBASA,3349.56
AIN SUKHNA TERMINAL,TEMA,5019.42
AIN SUKHNA TERMINAL,UMM QASR,3180.1
AKCANSA,DOUALA,5032.32
AKCANSA,HOUSTON,6510.24
AKTAU,AMIRABAD,530.25
AKTAU,BANDAR ANZALI,446.5
AKTAU,IRAN (COUNTRY),5062.43
AKTAU,NOW SHAHR,487.91
ALBANY (AUSTRALIA),BRISBANE,2403.45
ALBANY (AUSTRALIA),CAI LAN,3543.36
ALBANY (AUSTRALIA),CAI MEP,3022
ALBANY (AUSTRALIA),CEBU,3082.44
ALBANY (AUSTRALIA),CHIBA,4793
ALBANY (AUSTRALIA),DAFENG,4172.4
ALBANY (AUSTRALIA),DALIAN,4575.49
ALBANY (AUSTRALIA),DAMMAM,5218.35
ALBANY (AUSTRALIA),DAR ES SALAAM,4873.05
ALBANY (AUSTRALIA),DONGJIAKOU,4538
ALBANY (AUSTRALIA),HAKATA,4711.2
ALBANY (AUSTRALIA),HAMBURG,9997.96
ALBANY (AUSTRALIA),HUANGPU,4017.3
ALBANY (AUSTRALIA),ILIGAN,3079.7
ALBANY (AUSTRALIA),ISHINOMAKI,4834.48
ALBANY (AUSTRALIA),JEBEL ALI,4998.9
ALBANY (AUSTRALIA),JEDDAH,5795.72
ALBANY (AUSTRALIA),JIANGYIN,4282.6
ALBANY (AUSTRALIA),JUBAIL,5288.64
ALBANY (AUSTRALIA),KASHIMA,4749.08
ALBANY (AUSTRALIA),KOBE,4620
ALBANY (AUSTRALIA),KOHSICHANG TPP,3320.1
ALBANY (AUSTRALIA),KUSHIRO,5230.17
ALBANY (AUSTRALIA),LISBON,9293.55
ALBANY (AUSTRALIA),MAKASSAR,2071.62
ALBANY (AUSTRALIA),MOUNT MAUNGANUI,3077.36
ALBANY (AUSTRALIA),NAGOYA,4929.75
ALBANY (AUSTRALIA),NANSHA,3845.07
ALBANY (AUSTRALIA),NEWCASTLE (AUSTRALIA),1800
ALBANY (AUSTRALIA),PHU MY,2996.73
ALBANY (AUSTRALIA),PYEONGTAEK,4704.58
ALBANY (AUSTRALIA),QINGDAO,4681.35
ALBANY (AUSTRALIA),SEMARANG,2179.48
ALBANY (AUSTRALIA),SHIBUSHI,4437.94
ALBANY (AUSTRALIA),SHUWAIKH,5936.7
ALBANY (AUSTRALIA),SINGAPORE,2630.62
ALBANY (AUSTRALIA),SUBIC BAY,3318.66
ALBANY (AUSTRALIA),TAURANGA,2809.15
ALBANY (AUSTRALIA),ZHANGJIAGANG,4143.9
ALBANY (AUSTRALIA),ZHOUSHAN,4086.6
ALBANY (USA),CALLAO,3557.76
ALBANY (USA),GUAYAQUIL,2799.65
ALBANY (USA),ISKENDERUN,5523.89
ALBANY (USA),JORF LASFAR,3420.9
ALBANY (USA),LAGOS (NIGERIA),4953.96
ALBANY (USA),MARACAIBO,1981.56
ALBANY (USA),NEMRUT BAY,5061.24
ALBANY (USA),PORT AU PRINCE,1521.06
ALBANY (USA),PUERTO CORTES,1972.95
ALBANY (USA),TAVSANCIL,5206.55
ALBANY (USA),TEKIRDAG,5128.78
ALBANY (USA),VERACRUZ,2049.18
ALCANAR,HOUSTON,5086.68
ALCANAR,PORT EVERGLADES,4263
ALCANAR,TEMA,3340
ALCOY,CHENNAI,2842
ALCOY,KAOHSIUNG,853.45
ALCOY,TAICHUNG,1014.3
ALEXANDRIA (EGYPT),BILBAO,2665.08
ALEXANDRIA (EGYPT),ERDEMIR,846.72
ALEXANDRIA (EGYPT),HOUSTON,6263.35
ALEXANDRIA (EGYPT),MOMBASA,3483.81
ALEXANDRIA (EGYPT),NEW HAVEN,5182.8
ALEXANDRIA (EGYPT),NOUAKCHOTT,3017.67
ALEXANDRIA (EGYPT),RAVENNA,1189.65
ALEXANDRIA (EGYPT),VLISSINGEN,3047.74
ALGECIRAS,FREDRIKSTAD,1967.68
ALGECIRAS,FREEPORT (BAHAMAS),3624
ALGECIRAS,JORF LASFAR,248.56
ALGECIRAS,ROTTERDAM,1460.54
ALGECIRAS,ST CROIX,3487.05
ALGECIRAS,TEESPORT,1507.2
ALGECIRAS,VALENCIA,423.15
ALIAGA,ABIDJAN,4323.81
ALIAGA,BARRANQUILLA,5436.48
ALIAGA,CARTAGENA (COLOMBIA),5697.45
ALIAGA,CONAKRY,3483.9
ALIAGA,COTONOU,4857.84
ALIAGA,DAKAR,3013.44
ALIAGA,DOUALA,4836.45
ALIAGA,HOUSTON,6360.75
ALIAGA,LIVERPOOL (UNITED KINGDOM),2805.12
ALIAGA,LOME,4752.42
ALIAGA,NANTONG,8104.04
ALIAGA,NEW ORLEANS,5906.15
ALIAGA,NOUAKCHOTT,3032.32
ALIAGA,PUERTO CORTES,6105.33
ALIAGA,SAN PEDRO (IVORY COAST),4237.42
ALIAGA,SFAX,883.75
ALIAGA,TAKORADI,4539.21
ALIAGA,TEMA,4702.88
ALICANTE,LOME,3387.67
ALICANTE,SEPETIBA,4567
ALLIANCE,AMSTERDAM,4841
ALLIANCE,CUL-DE-SAC,1823.05
ALLIANCE,GUAYMAS,3598.6
ALLIANCE,MALTA (GRAND HARBOUR),5497.47
ALLIANCE,ROUEN,4542.51
ALMERIA,ACU,4259.52
ALMERIA,CHARLESTON SC,3658.84
ALMERIA,DOUALA,3717.27
ALMERIA,MONTREAL,3445.35
ALMERIA,QUEBEC,3049.5
ALMERIA,TAMPA,4598.88
ALTAMIRA,SAN NICOLAS (ARGENTINA),6697.32
ALTAMIRA,ST BERNARD PORT,698.7
AMA,BUENAVENTURA,1731.85
AMAMAPARE,ISABEL,1378.02
AMAMAPARE,KWANGYANG,2667.06
AMAMAPARE,NAOSHIMA,2640.34
AMAMAPARE,NIIHAMA,2655.18
AMAMAPARE,OSAKA,2769.67
AMAMAPARE,PASIR GUDANG,2170
AMAMAPARE,QINGDAO,2898.42
AMAMAPARE,RONNSKAR,12186.96
AMAMAPARE,TAICHUNG,2257.84
AMBARLI,ABIDJAN,4344.34
AMBARLI,SAN PEDRO (IVORY COAST),4308.66
AMRUN,JINGJIANG,3246.56
AMRUN,LAIZHOU,3553
AMRUN,NANTONG,3189.54
AMRUN,QINGDAO,3482.85
AMRUN,YANTAI,3415.5
AMSTERDAM,AABENRAA,635.35
AMSTERDAM,ABIDJAN,3976.35
AMSTERDAM,ALGECIRAS,1460.25
AMSTERDAM,AVEIRO,1053.52
AMSTERDAM,BARCELONA,1950.2
AMSTERDAM,BELFAST,783.36
AMSTERDAM,BERGNESET,1191.16
AMSTERDAM,BREST,572.67
AMSTERDAM,CASABLANCA,1446.39
AMSTERDAM,CHARLESTON,3641.35
AMSTERDAM,CHARLESTON SC,4024.65
AMSTERDAM,CHITTAGONG,7979.16
AMSTERDAM,CIUDAD MADERO,5298.32
AMSTERDAM,CONAKRY,3183.44
AMSTERDAM,DAGENHAM,228.66
AMSTERDAM,DAKAR,2592.1
AMSTERDAM,DAMIETTA,3454.62
AMSTERDAM,DEENDAYAL,6232.8
AMSTERDAM,DROGHEDA,692.01
AMSTERDAM,DUBLIN,659.54
AMSTERDAM,DUNKIRK,186
AMSTERDAM,EREGLI,3255.36
AMSTERDAM,FIUMICINO,2395.72
AMSTERDAM,FLORO,605
AMSTERDAM,FOYNES,811.65
AMSTERDAM,FREDRIKSTAD,510.58
AMSTERDAM,FREETOWN,3061.08
AMSTERDAM,GDYNIA,989.04
AMSTERDAM,GIJON,757.35
AMSTERDAM,GLASGOW,878.8
AMSTERDAM,GREENORE,711
AMSTERDAM,HALSA,1035.84
AMSTERDAM,HOUSTON,4917.9
AMSTERDAM,HUELVA,1463.7
AMSTERDAM,HULL,210.12
AMSTERDAM,ICDAS,3078.78
AMSTERDAM,ISDEMIR,3461.04
AMSTERDAM,ISKENDERUN,3494
AMSTERDAM,KARACHI,6178.59
AMSTERDAM,KINSALE,582.72
AMSTERDAM,KM171,6597.36
AMSTERDAM,KOPER,3267.68
AMSTERDAM,KRISTIANSAND,373.45
AMSTERDAM,LA CORUNA,860.08
AMSTERDAM,LA PALLICE,710.6
AMSTERDAM,LAGOS (NIGERIA),4237
AMSTERDAM,LAVERA,2145.33
AMSTERDAM,LIVERPOOL (UNITED KINGDOM),759.11
AMSTERDAM,LOME,4284.8
AMSTERDAM,LOS ANGELES,7625.38
AMSTERDAM,MALAGA,1607.55
AMSTERDAM,MILFORD HAVEN,580.75
AMSTERDAM,MONTOIR,713.44
AMSTERDAM,MONTREAL,3407.24
AMSTERDAM,NEMRUT BAY,3093
AMSTERDAM,NEW HAVEN,3234.33
AMSTERDAM,NEW HOLLAND,215.13
AMSTERDAM,NEW YORK,3389.56
AMSTERDAM,NIKOLAEV,3815.76
AMSTERDAM,OFFSHORE LOME,4275.44
AMSTERDAM,OSLO,562.02
AMSTERDAM,PAJARITOS,4858.56
AMSTERDAM,PASAJES,771.4
AMSTERDAM,PLOMIN,3097
AMSTERDAM,PLYMOUTH (UNITED KINGDOM),386.88
AMSTERDAM,POINT TUPPER,2546.95
AMSTERDAM,PORT CANAVERAL,4169.36
AMSTERDAM,PORT EVERGLADES,3964.39
AMSTERDAM,PORTLAND (UNITED KINGDOM),333.72
AMSTERDAM,PORTLAND (USA-MAINE),3141.1
AMSTERDAM,PROVIDENCE,3291.54
AMSTERDAM,RAMALLO,6803.68
AMSTERDAM,RINGASKIDDY,606.87
AMSTERDAM,ROTTERDAM,81.18
AMSTERDAM,SAN JUAN,3799.46
AMSTERDAM,SANTANDER,847.69
AMSTERDAM,SAO LUIS,4096.31
AMSTERDAM,ST EUSTATIUS,3954.08
AMSTERDAM,ST MALO,463.05
AMSTERDAM,TARRAGONA,1901.2
AMSTERDAM,TEIGNMOUTH,365
AMSTERDAM,TEKIRDAG,3208
AMSTERDAM,TEMA,4108.56
AMSTERDAM,THAMESPORT,176.46
AMSTERDAM,TUXPAN,4882.05
AMSTERDAM,VARNA,3278.4
AMSTERDAM,VENTSPILS,1085.28
AMSTERDAM,VERACRUZ,4897.92
AMSTERDAM,WAKAYAMA,10745.66
AMSTERDAM,WATERFORD,595.58
AMSTERDAM,YABUCOA,4042.48
AMSTERDAM,ZARATE,6261.35
AMSTERDAM,ZHUHAI,10317.3
AMUAY BAY,LAGOS (NIGERIA),4553.28
AMURANG,GENERAL SANTOS,301.67
AMURANG,GHENT,9588.45
AMURANG,HAMBURG,10264.63
AMURANG,HOUSTON,11305.28
AMURANG,KUANTAN,1535.1
AMURANG,PALDISKI-PORT OF TALLINN,11277.12
AMURANG,PASIR GUDANG,1602.64
AMURANG,PORT KELANG,1753
AMURANG,PORT KLANG,1823.12
AMURANG,PORT QASIM,4298.28
AMURANG,RAVENNA,7913.35
AMURANG,ROTTERDAM,10396.05
AMURANG,SAVANNAH GA,11019
AMURANG,SUBIC BAY,876
AMURANG,TUTICORIN,3313.98
AMURANG,VENTSPILS,10481.28
ANACORTES,LA PAZ,1952.25
ANCONA,ALGIERS,1154
ANGAMOS-TERMINAL,DAMMAM,7163.8
ANGAMOS-TERMINAL,FANGCHENG,9200.09
ANGAMOS-TERMINAL,GULFPORT (MISSISSIPPI),5815.95
ANGAMOS-TERMINAL,HUELVA,2998.8
ANGAMOS-TERMINAL,KOKKOLA,5490.36
ANGAMOS-TERMINAL,NANJING,9574.1
ANGAMOS-TERMINAL,NEW ORLEANS,5306.7
ANGAMOS-TERMINAL,PORT KLANG,8091.3
ANGAMOS-TERMINAL,POTI,5263.83
ANGAMOS-TERMINAL,SOREL,4746.24
ANGAMOS-TERMINAL,TAICHUNG,9119.94
ANGAMOS-TERMINAL,TERNEUZEN,3921.96
ANGRE,UMM QASR,1666.68
ANNABA,ABIDJAN,3296
ANNABA,CONAKRY,2570
ANNABA,GHENT,2042
ANNABA,NUEVA PALMIRA,5686.7
ANNABA,PORTO MARGHERA,1037.52
ANNABA,PROGRESO,5003.46
ANNABA,SAN LORENZO-SAN MARTIN,6456.45
ANNABA,TEMA,3466.26
ANNAPOLIS ANCHORAGE,ROTTERDAM,3746.08
ANTALYA,FREETOWN,3675.98
ANTALYA,GEORGETOWN (GUYANA),5431.65
ANTALYA,SABINE PASS,6469
ANTOFAGASTA,ANTWERP,7331.1
ANTOFAGASTA,AVILES,6832.35
ANTOFAGASTA,BEIHAI,10506.07
ANTOFAGASTA,BRUNSBUTTEL,6981.09
ANTOFAGASTA,BUKPYUNG,9412.92
ANTOFAGASTA,NANJING,10662.08
ANTOFAGASTA,NANTONG,10215.14
ANTOFAGASTA,NIIHAMA,9318.82
ANTOFAGASTA,ONSAN,10047.45
ANTOFAGASTA,PANAMA CITY,3360.96
ANTOFAGASTA,PORI,8368.5
ANTOFAGASTA,SAO SEBASTIAO,4066.02
ANTOFAGASTA,YANTAI,9684.48
ANTONINA,ALGIERS,4749.12
ANTONINA,BATUMI,6643.2
ANTONINA,CADIZ,4344.96
ANTONINA,COTONOU,3655.47
ANTONINA,DAKAR,3003.12
ANTONINA,JEDDAH,7522.2
ANTONINA,MASSAWA,7339.22
ANTONINA,NOUAKCHOTT,3183.36
ANTONINA,PENANG,8662.5
ANTONINA,PORT KELANG,8410.35
ANTONINA,POTI,6844.86
ANTONINA,ROTTERDAM,5881.05
ANTWERP,ABIDJAN,3647.2
ANTWERP,ALEXANDRIA (EGYPT),3337.2
ANTWERP,ALTAMIRA,5108
ANTWERP,AMBES,788
ANTWERP,ANTONINA,5836.48
ANTWERP,ARATU,4375.7
ANTWERP,BALTIMORE (USA),3704.64
ANTWERP,BARRA DOS COQUEIROS,4249.92
ANTWERP,BAYONNE (FRANCE),859.02
ANTWERP,BELFAST,756.84
ANTWERP,BERGNESET,1304
ANTWERP,BILBAO,760.32
ANTWERP,BORDEAUX,833.04
ANTWERP,BREST,530.18
ANTWERP,BROMBOROUGH,708.54
ANTWERP,CAEN,284
ANTWERP,CAMDEN,3541.44
ANTWERP,CAPE TOWN,6446.96
ANTWERP,COTEGIPE,4698.12
ANTWERP,DAMIETTA,3394.56
ANTWERP,DARTMOUTH (CANADA),2854.13
ANTWERP,DELAWARE CITY,3544.23
ANTWERP,DUBLIN,658.92
ANTWERP,DURBAN,6709.44
ANTWERP,ELLESMERE PORT,714.42
ANTWERP,FOS,2122.56
ANTWERP,HAMBURG,400
ANTWERP,HOUSTON,5296.2
ANTWERP,HUELVA,1313.28
ANTWERP,ICDAS,3022.08
ANTWERP,IMMINGHAM,255.42
ANTWERP,ISKENDERUN,3467
ANTWERP,JEBEL ALI,6554.08
ANTWERP,LA PALLICE,742.63
ANTWERP,LAGOS (NIGERIA),4295.22
ANTWERP,LE TREPORT,217.26
ANTWERP,LES SABLES D'OLONNE,705.84
ANTWERP,LIVERPOOL (UNITED KINGDOM),745.5
ANTWERP,LOME,4053.06
ANTWERP,LONDONDERRY,803.6
ANTWERP,MANZANILLO (MEXICO),6369.02
ANTWERP,MERSIN,3276.48
ANTWERP,NANTONG,10090.9
ANTWERP,NEW HAVEN,3273.41
ANTWERP,NEW ORLEANS,4981.08
ANTWERP,NEW ROSS,571.34
ANTWERP,NEWPORT (GWENT),606.9
ANTWERP,NOLA,4981.08
ANTWERP,PARANAGUA,5876.85
ANTWERP,PLYMOUTH (UNITED KINGDOM),394.8
ANTWERP,PORTO ALEGRE,5980.05
ANTWERP,PROVIDENCE,3361.05
ANTWERP,QINGDAO,11154.9
ANTWERP,RAMALLO,6580.15
ANTWERP,RECIFE,4369.04
ANTWERP,RIO GRANDE (BRAZIL),5822.91
ANTWERP,RIO HAINA,4015.44
ANTWERP,ROCHEFORT & TONNAY-CHARENTE,713.28
ANTWERP,RUNCORN,773.85
ANTWERP,SAFI,1571.85
ANTWERP,SALVADOR,4730.79
ANTWERP,SAN NICOLAS (ARGENTINA),6255.36
ANTWERP,SAO SEBASTIAO,5560.97
ANTWERP,SAVANNAH GA,3955.56
ANTWERP,SETUBAL,1179
ANTWERP,TOCOPILLA,6639.36
ANTWERP,TOPOLOBAMPO,7116.46
ANTWERP,TRANMERE,714.78
ANTWERP,VAASA,1441.44
ANTWERP,VERACRUZ,4974.48
ANTWERP,VITORIA,5122.44
ANTWERP,WILHELMSHAVEN,335
APAPA,LA PALLICE,3934.32
APAPA,MONTOIR,3899.58
APAPA,NANTES-ST NAZAIRE,3736.74
APAR BAY,KAKINADA,2649.96
AQABA,ANTONINA,7182
AQABA,BINTULU,5345.9
AQABA,CORUNNA,2812.95
AQABA,ESPERANCE,6663
AQABA,GEELONG,7963.14
AQABA,GRESIK,5426.26
AQABA,HAZIRA,3000.39
AQABA,KWINANA,6513.52
AQABA,NEW ORLEANS,6686.21
AQABA,PARADIP,4596.9
AQABA,QINGDAO,7327
AQABA,RIO GRANDE (BRAZIL),7302.3
AQABA,SANTOS,6496.09
AQABA,SAO FRANCISCO DO SUL,6577.92
AQABA,TIANJIN,7514.64
AQABA,TUTICORIN,3116.95
AQABA,VLISSINGEN,3650
ARATU,ALIAGA,4902.95
ARATU,BARCELONA,3849.4
ARATU,BEIHAI,10638.6
ARATU,BEJAIA,3843.7
ARATU,BIN QASIM,7846.86
ARATU,CADIZ,3630.75
ARATU,CONSTANTZA,5582.27
ARATU,DAGANG (QINGDAO),10630.5
ARATU,DALIAN,11475.62
ARATU,DONGJIAKOU,11627.2
ARATU,FANGCHENG,10654.35
ARATU,GHENT,4623.78
ARATU,HUANGHUA,11051.52
ARATU,HUELVA,3711.75
ARATU,KAOHSIUNG,10758.8
ARATU,KASHIMA,11441.34
ARATU,KOHSICHANG TPP,9295.68
ARATU,KUNSAN,10640
ARATU,LA CORUNA,3796.65
ARATU,LEIXOES,3727.91
ARATU,LIANYUNGANG,11204
ARATU,LIVERPOOL (UNITED KINGDOM),4635.28
ARATU,LONGKOU,11765.69
ARATU,MACHONG,9936.68
ARATU,MALAGA,3450.24
ARATU,MARIN (SPAIN),3755
ARATU,MIZUSHIMA,10815.75
ARATU,MONTOIR,4139.19
ARATU,NAGOYA,11897.6
ARATU,NANTONG,11307.34
ARATU,NINGBO,10948.4
ARATU,ORISTANO,4271.29
ARATU,PORT QASIM,7633.92
ARATU,QINGDAO,10627.65
ARATU,QINZHOU,10349.94
ARATU,RAVENNA,5359.12
ARATU,RIZHAO,11326.14
ARATU,SETE,4282.98
ARATU,SHIMIZU,10782.5
ARATU,TAICHUNG,10857.6
ARATU,TAIZHOU,10936.53
ARATU,TANGSHAN,12038.25
ARATU,TARRAGONA,4223.1
ARATU,TIANJIN,11296.46
ARATU,TIESHAN,9639.65
ARATU,ULSAN,11038.72
ARATU,XIAMEN,9887.6
ARATU,XINSHA,10039.12
ARATU,YANBU,5959.8
ARATU,YANGJIANG,10475.1
ARATU,YANGZHONG,10856.44
ARATU,YOKOHAMA,11529.06
ARATU,ZHANGJIAGANG,11114.04
ARATU,ZHANJIANG,9734.4
ARATU,ZHOUSHAN,10919.11
ARDROSSAN (AUSTRALIA),PORT KEMBLA,1026.95
ARDROSSAN (AUSTRALIA),WHYALLA,248.92
ARGENTIA,ADABIYA,4336
ARGENTINA (COUNTRY),ROTTERDAM,5957.45
ARICA,BRUNSBUTTEL,7248.8
ARICA,BUENAVENTURA,1672.11
ARICA,CALLAO,568.4
ARICA,CORINTO,2153.25
ARICA,GUAYAQUIL,1311.19
ARICA,MANTA,1255.9
ARICA,MARACAIBO,2695.86
ARICA,MATARANI,132.3
ARICA,NORDENHAM,7310.1
ARICA,PISCO,472
ARICA,PUERTO CABELLO,2827.35
